basename	artwork_path	staged_pdf_recipe_or_pdf	bought	classes_present
CNX_Chem_06_04_Boron122_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Boron122_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_Carbon122_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Carbon122_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_Econfig	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Econfig.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_Efillorder	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Efillorder.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_Helium1_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Helium1_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_Hydrog1_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Hydrog1_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_Lithium12_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Lithium12_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_NOFNe_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_NOFNe_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_OrbDiaSh2a_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_OrbDiaSh2a_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_OrbDiaSh2b_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_OrbDiaSh2b_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_OrbDiaSh2c_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_OrbDiaSh2c_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_PhosphOrb_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_PhosphOrb_img.pdf	pdf	0	persistent-gstate
CNX_Chem_06_04_Valence	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_04_Valence.pdf	pdf	0	persistent-gstate
CNX_Chem_06_05_Elaffin	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_05_Elaffin.pdf	pdf	0	persistent-gstate
CNX_Chem_06_05_Firstionen	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_05_Firstionen.pdf	pdf	0	persistent-gstate
CNX_Chem_06_05_Ionradii	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_05_Ionradii.pdf	pdf	0	persistent-gstate
CNX_Chem_06_05_Oxygen122_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_06/Source_File/CNX_Chem_06_05_Oxygen122_img.pdf	pdf	0	persistent-gstate
CNX_Chem_07_03_COCO2_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_07/Source_File/CNX_Chem_07_03_COCO2_img.pdf	pdf	0	persistent-gstate
